City,State,mynewhome,dice,careerbuilder

New York,NY,new-york-ny,"New York, NY, USA","New York, NY"

Los Angeles,CA,los-angeles-ca,"Los Agngeles, CA, USA","Los Angeles, CA"

Chicago,IL,chicago-il,"Chicago, IL, USA","Chicago, IL"

Houston,TX,houston-tx,"Houston, TX, USA","Houston, TX"

Phoenix,AZ,phoenix-az,"Phoenix, AZ, USA","Phoenix, AZ"

Philadelphia,PA,philadelphia-pa,"Philadelphia, PA, USA","Philadelphia, PA"

San Antonio,TX,san-antonio-tx,"San Antonio, TX, USA","San Antonio, TX"

San Diego,CA,san-diego-ca,"San Diego, CA, USA","San Diego, CA"

Dallas,TX,dallas-tx,"Dallas, TX, USA","Dallas, TX"

San Jose,CA,san-jose-ca,"San Jose, CA, USA","San Jose, CA"

Austin,TX,austin-tx,"Austin, TX, USA","Austin, TX"

Jacksonville,FL,jacksonville-fl,"Jacksonville, FL, USA","Jacksonville, FL"

San Francisco,CA,san-francisco-ca,"San Francisco, CA, USA","San Francisco, CA"

Columbus,OH,columbus-oh,"Columbus, OH, USA",Columbus. OH

Indianapolis,IN,indianapolis-in,"Indianapolis, IN, USA","Indianapolis, IN"

Fort Worth,TX,fort-worth-tx,"Fort Worth, TX, USA","Fort Worth, TX"

Seattle,WA,seattle-wa,"Seattle, WA, USA","Seattle, WA"

Denver,CO,denver-co,"Denver, CO, USA","Denver, CO"

El Paso,TX,el-paso-tx,"El Paso, TX, USA","El Paso, TX"

Washington,DC,washington-dc,"Washington D.C., DC, USA","Washington, DC"

Boston,MA,boston-ma,"Boston, MA, USA","Boston, MA"

Detroit,MI,detroit-mi,"Detroit, MI, USA","Detroit, MI"

Nashville,TN,nashville-tn,"Nashville, TN, USA","Nashville, TN"
